duration_ms,danceability,speechiness,popularity
246333,0.724,0.135,65
186467,0.685,0.0439,63
199520,0.762,0.0959,62
240597,0.563,0.121,61
213947,0.653,0.0409,68
205640,0.51,0.0895,61
239147,0.67,0.0875,64
334570,0.377,0.0387,66
170343,0.523,0.225,60
219120,0.761,0.0539,69
257733,0.501,0.029,71
234413,0.639,0.215,69
187521,0.845,0.0714,76
203227,0.584,0.321,61
319973,0.741,0.0754,66
264847,0.751,0.0515,65
171392,0.791,0.347,61
158947,0.703,0.212,62
265883,0.457,0.166,65
216234,0.759,0.0406,65
234759,0.546,0.0987,63
226632,0.69,0.0638,68
209160,0.733,0.0315,67
267200,0.259,0.0367,65
176414,0.752,0.0426,65
213750,0.721,0.342,70
218947,0.637,0.0874,72
164453,0.612,0.0351,66
268533,0.811,0.0402,68
212880,0.344,0.079,67
192984,0.577,0.259,64
186893,0.513,0.0511,68
278515,0.621,0.151,67
220964,0.741,0.378,68
228966,0.684,0.0401,62
232707,0.735,0.0635,62
222004,0.716,0.0547,57
212973,0.502,0.0512,63
357357,0.785,0.0732,67
269493,0.781,0.0332,70
264200,0.679,0.351,70
230625,0.674,0.0272,62
243133,0.678,0.0498,65
243920,0.666,0.246,64
118393,0.784,0.03,63
208280,0.605,0.028,62
293345,0.738,0.185,59
199627,0.539,0.493,68
197653,0.671,0.124,67
188987,0.794,0.148,61
242250,0.769,0.344,57
202943,0.595,0.306,61
291098,0.385,0.0519,60
248467,0.71,0.0604,64
211567,0.536,0.123,67
249800,0.866,0.253,70
205973,0.535,0.0614,60
213253,0.512,0.115,65
181267,0.789,0.0599,62
209423,0.741,0.143,65
172427,0.808,0.07,67
202661,0.598,0.0804,69
216689,0.596,0.134,71
220173,0.853,0.0755,68
232000,0.876,0.0446,66
210573,0.689,0.053,70
238920,0.677,0.0361,69
215747,0.442,0.146,63
227293,0.549,0.133,70
197720,0.583,0.0478,66
221736,0.488,0.123,65
237653,0.849,0.0662,61
216893,0.684,0.0307,67
232573,0.596,0.226,70
273810,0.705,0.396,56
212670,0.733,0.461,62
268947,0.656,0.0883,67
302001,0.749,0.0393,61
216507,0.78,0.072,28
226963,0.691,0.347,67
201334,0.759,0.0491,63
171968,0.803,0.0365,63
176553,0.514,0.394,31
187537,0.717,0.115,66
215160,0.362,0.0663,61
174093,0.835,0.0719,62
216520,0.858,0.0598,63
197600,0.557,0.0427,65
187061,0.889,0.0662,65
213293,0.705,0.2,61
224031,0.576,0.0296,74
212147,0.665,0.151,66
177063,0.737,0.0665,64
272143,0.63,0.0394,61
233680,0.912,0.0618,60
186307,0.663,0.0635,63
157390,0.647,0.301,55
181144,0.655,0.0912,64
196133,0.805,0.0887,64
246400,0.649,0.0447,65
197333,0.531,0.315,61
172240,0.324,0.0723,61
161239,0.514,0.212,55
144000,0.688,0.027,62
198653,0.599,0.0679,67
214254,0.684,0.0335,65
169756,0.506,0.249,60
210293,0.488,0.0865,68
377467,0.616,0.0623,66
205347,0.643,0.0463,66
271813,0.558,0.036,60
179293,0.631,0.315,62
233360,0.828,0.179,67
204013,0.596,0.121,71
196755,0.712,0.0538,62
214200,0.538,0.187,64
242773,0.618,0.0981,63
220853,0.622,0.0433,68
195867,0.71,0.0616,65
218627,0.516,0.0659,66
251893,0.577,0.0423,63
211861,0.604,0.243,53
217813,0.71,0.0579,64
233266,0.686,0.0968,61
211200,0.845,0.138,68
233601,0.503,0.0881,67
218460,0.743,0.0388,68
218253,0.657,0.112,64
213445,0.702,0.0543,63
154983,0.714,0.147,60
176327,0.688,0.325,62
162586,0.867,0.0625,72
251497,0.527,0.0589,61
195254,0.649,0.0438,60
192200,0.668,0.0605,71
289600,0.413,0.0628,65
147376,0.51,0.332,53
201422,0.644,0.0496,67
163133,0.77,0.0473,66
226906,0.583,0.439,68
321027,0.469,0.0704,66
215385,0.736,0.0461,62
175453,0.276,0.0443,61
201253,0.647,0.243,66
215327,0.797,0.0354,64
186200,0.838,0.143,66
224240,0.797,0.0646,68
168727,0.774,0.275,52
250173,0.592,0.0239,66
191992,0.714,0.0812,67
200223,0.616,0.103,62
138861,0.446,0.352,64
204733,0.716,0.0539,65
186181,0.853,0.0511,63
241296,0.769,0.0531,61
210826,0.728,0.122,61
300729,0.675,0.0516,62
206907,0.664,0.0406,63
281876,0.67,0.0629,66
180867,0.73,0.0828,66
251907,0.552,0.168,60
191255,0.745,0.19,71
196133,0.77,0.159,59
184600,0.423,0.0593,65
196360,0.657,0.0584,65
350742,0.435,0.0369,61
244355,0.536,0.0621,64
215316,0.86,0.235,63
181908,0.543,0.0625,62
326533,0.593,0.0976,68
256320,0.703,0.0322,61
273353,0.71,0.138,66
295920,0.776,0.0343,63
244133,0.813,0.257,59
140182,0.784,0.054,61
190354,0.535,0.303,58
216632,0.767,0.0676,61
218693,0.517,0.223,59
274960,0.55,0.0398,66
200865,0.757,0.126,62
296147,0.508,0.292,67
186713,0.68,0.115,64
363640,0.287,0.177,64
198442,0.643,0.0895,67
290186,0.377,0.0451,61
217387,0.677,0.0699,62
182667,0.775,0.0464,67
216880,0.693,0.0608,64
174311,0.711,0.055,66
231907,0.67,0.0406,63
263667,0.649,0.0307,71
281067,0.569,0.03,68
227097,0.751,0.0519,65
207462,0.529,0.0436,63
158633,0.636,0.0303,66
239987,0.839,0.0329,68
285240,0.897,0.0534,62
244827,0.655,0.22,68
215947,0.47,0.26,66
261800,0.777,0.268,68
186253,0.677,0.0698,63
161107,0.666,0.0393,65
242341,0.622,0.0372,65
111640,0.638,0.132,66
210947,0.527,0.135,59
261835,0.782,0.046,67
217500,0.755,0.0656,62
218200,0.835,0.128,67
66786,0.513,0.467,64
192280,0.669,0.0693,61
272987,0.379,0.134,61
225667,0.662,0.0477,65
284587,0.658,0.0425,65
195910,0.874,0.0677,60
209912,0.517,0.0962,63
257547,0.823,0.0557,64
281512,0.663,0.0545,58
200960,0.445,0.387,60
215064,0.628,0.0596,80
279453,0.46,0.141,59
229360,0.514,0.134,65
186723,0.588,0.495,60
189173,0.484,0.0393,61
163747,0.384,0.516,60
201143,0.632,0.0321,60
178480,0.734,0.0295,62
230560,0.789,0.171,69
200613,0.875,0.317,62
227187,0.765,0.13,63
232079,0.717,0.352,44
196570,0.625,0.0293,67
191985,0.622,0.0832,61
253200,0.482,0.163,60
187773,0.769,0.164,65
219827,0.425,0.114,67
274600,0.653,0.0295,67
249520,0.39,0.141,58
256427,0.775,0.134,65
202907,0.721,0.0454,63
249240,0.595,0.0618,64
204231,0.695,0.0258,63
133135,0.744,0.12,64
285160,0.826,0.0343,61
220101,0.665,0.132,60
214480,0.602,0.0578,63
286957,0.425,0.176,66
194267,0.735,0.226,63
272739,0.366,0.0315,60
187840,0.844,0.207,68
298027,0.681,0.34,65
191600,0.688,0.108,66
263013,0.755,0.0476,67
182000,0.782,0.362,60
162750,0.902,0.266,65
200013,0.702,0.0425,67
184720,0.663,0.061,64
282329,0.471,0.0391,65
295720,0.713,0.292,60
440467,0.629,0.038,65
125035,0.677,0.069,65
197587,0.804,0.08,66
173045,0.812,0.0429,66
262827,0.687,0.325,66
377347,0.626,0.0435,65
259440,0.847,0.0641,69
230930,0.512,0.0587,68
229808,0.731,0.0931,62
220000,0.812,0.105,64
209560,0.379,0.0586,64
263507,0.75,0.0831,64
291907,0.693,0.0402,67
178010,0.829,0.149,59
214726,0.706,0.0326,60
174093,0.62,0.0439,62
194000,0.837,0.0331,59
241307,0.748,0.381,63
162486,0.519,0.117,60
301520,0.862,0.0646,73
337640,0.524,0.302,63
261880,0.49,0.221,62
163200,0.739,0.113,65
220044,0.726,0.0393,60
238658,0.767,0.24,66
267450,0.499,0.0495,60
238733,0.753,0.121,62
181290,0.79,0.0419,59
239453,0.693,0.066,63
171947,0.643,0.12,61
204324,0.749,0.0386,62
199212,0.645,0.0663,68
212000,0.722,0.0775,61
212143,0.589,0.0495,66
223293,0.711,0.0608,65
197847,0.498,0.31,66
137787,0.885,0.156,59
210177,0.423,0.231,66
221133,0.73,0.206,69
296693,0.725,0.0368,65
234434,0.511,0.146,78
225560,0.544,0.32,64
190288,0.833,0.325,61
230467,0.734,0.129,70
264773,0.699,0.0318,64
166693,0.719,0.052,65
269973,0.769,0.0797,65
153125,0.71,0.0401,61
251240,0.788,0.0334,70
227147,0.687,0.287,65
203813,0.38,0.0962,60
187551,0.621,0.0402,61
155157,0.556,0.0971,60
203173,0.743,0.0532,66
230907,0.758,0.0792,73
188813,0.526,0.0439,58
280678,0.589,0.0614,60
149320,0.665,0.327,62
193093,0.677,0.334,68
197575,0.312,0.092,66
235493,0.827,0.254,62
188754,0.811,0.0514,68
176213,0.442,0.247,66
200000,0.799,0.165,61
261360,0.74,0.146,63
192599,0.637,0.131,66
214573,0.694,0.0949,65
238560,0.457,0.0275,72
223107,0.7,0.161,66
187217,0.746,0.403,66
160724,0.655,0.226,65
241267,0.816,0.338,61
299200,0.52,0.0534,63
211712,0.668,0.25,62
